distribution,sample_size,contamination_rate,outlier_scale_mad,contamination_type,true_mean,scenario_mode,estimator,mse,mse_q95,mse_max,bias,abs_bias,variance,mad,iqr,winner_k,winner_estimator_str,winner_robust_q95_mse,winner_robust_mean_mse,winner_robust_max_mse
normal,300,0.01,1.5,upper_tail,3,full,biweight,0.027517937424492923,0.07986373093838638,0.07986373093838638,0.08268736087951467,0.08268736087951467,0.022978597528082054,0.09090872117985183,0.14454149159254204,1,0*mean + 0*median + 0*trimmed20 + 0.5*harmonic + 0.5*geometric + 0*mode_hsm + 0*mode_parzen + 0*trimean + 0*huber + 0*biweight,1.4182805365746165,0.7942893150443596,1.4295881726250563
normal,300,0.02,1.5,upper_tail,3,full,robust,1.0093783431133243,1.6359858821639093,1.6359858821639093,-0.985869592503092,0.985869592503092,0.04159943299012372,0.18556677110876207,0.3470440708359739,1,0*mean + 0*median + 0*trimmed20 + 0.5*harmonic + 0.5*geometric + 0*mode_hsm + 0*mode_parzen + 0*trimean + 0*huber + 0*biweight,1.4182805365746165,0.7942893150443596,1.4295881726250563
normal,300,0.02,1.5,upper_tail,3,full,mean,0.02047323006583045,0.05045860062711637,0.05045860062711637,0.06352242828629473,0.06352242828629473,0.018264590189381112,0.06481789859699494,0.11707122075713228,1,0*mean + 0*median + 0*trimmed20 + 0.5*harmonic + 0.5*geometric + 0*mode_hsm + 0*mode_parzen + 0*trimean + 0*huber + 0*biweight,1.4182805365746165,0.7942893150443596,1.4295881726250563
normal,300,0.02,1.5,upper_tail,3,full,median,0.12738816738350378,0.3346680365977145,0.3346680365977145,0.25736880774542303,0.25736880774542303,0.06794384909244794,0.14886041652173976,0.3803597513976653,1,0*mean + 0*median + 0*trimmed20 + 0.5*harmonic + 0.5*geometric + 0*mode_hsm + 0*mode_parzen + 0*trimean + 0*huber + 0*biweight,1.4182805365746165,0.7942893150443596,1.4295881726250563
normal,300,0.02,1.5,upper_tail,3,full,trimmed20,0.039819301125758794,0.12820820478872114,0.12820820478872114,0.1308346824590494,0.1308346824590494,0.025223985546220525,0.07953173243003109,0.10614256958545676,1,0*mean + 0*median + 0*trimmed20 + 0.5*harmonic + 0.5*geometric + 0*mode_hsm + 0*mode_parzen + 0*trimean + 0*huber + 0*biweight,1.4182805365746165,0.7942893150443596,1.4295881726250563
normal,300,0.02,1.5,upper_tail,3,full,harmonic,3.1674830786809522,4.943054761879209,4.943054761879209,-1.7586545306049104,1.7586545306049104,0.0829081340708601,0.2504904950817226,0.3995807270915037,1,0*mean + 0*median + 0*trimmed20 + 0.5*harmonic + 0.5*geometric + 0*mode_hsm + 0*mode_parzen + 0*trimean + 0*huber + 0*biweight,1.4182805365746165,0.7942893150443596,1.4295881726250563
normal,300,0.02,1.5,upper_tail,3,full,geometric,0.06542102115357003,0.2179009085645424,0.2179009085645424,-0.21308818815400254,0.21308818815400254,0.02223827246979378,0.11848218940137589,0.21341249514226668,1,0*mean + 0*median + 0*trimmed20 + 0.5*harmonic + 0.5*geometric + 0*mode_hsm + 0*mode_parzen + 0*trimean + 0*huber + 0*biweight,1.4182805365746165,0.7942893150443596,1.4295881726250563
normal,300,0.02,1.5,upper_tail,3,full,mode_hsm,2.7910331807337934,6.606035001761198,6.606035001761198,0.3370276253932212,0.3370276253932212,2.9749395116173334,0.40873649359750486,2.541395402027433,1,0*mean + 0*median + 0*trimmed20 + 0.5*harmonic + 0.5*geometric + 0*mode_hsm + 0*mode_parzen + 0*trimean + 0*huber + 0*biweight,1.4182805365746165,0.7942893150443596,1.4295881726250563
normal,300,0.02,1.5,upper_tail,3,full,mode_parzen,2.664836609231679,4.0973339470582655,4.0973339470582655,0.8682435383767726,0.8682435383767726,2.123321963665178,0.15062201875596992,0.39989671808618343,1,0*mean + 0*median + 0*trimmed20 + 0.5*harmonic + 0.5*geometric + 0*mode_hsm + 0*mode_parzen + 0*trimean + 0*huber + 0*biweight,1.4182805365746165,0.7942893150443596,1.4295881726250563
normal,300,0.02,1.5,upper_tail,3,full,trimean,0.05478860287988908,0.1560115753030487,0.1560115753030487,0.1616108274286625,0.1616108274286625,0.03185615926412461,0.09941036040202,0.16822792122189334,1,0*mean + 0*median + 0*trimmed20 + 0.5*harmonic + 0.5*geometric + 0*mode_hsm + 0*mode_parzen + 0*trimean + 0*huber + 0*biweight,1.4182805365746165,0.7942893150443596,1.4295881726250563
