contamination_rate,outlier_scale_mad,contamination_type,scenario_id
0.05,15,mixture_bimodal_far,SC00556
0.1,15,mixture_bimodal_far,SC00557
0.15,15,mixture_bimodal_far,SC00558
0.2,15,mixture_bimodal_far,SC00559
0.3,15,mixture_bimodal_far,SC00560
0,20,mixture_bimodal_far,SC00561
0.01,20,mixture_bimodal_far,SC00562
0.02,20,mixture_bimodal_far,SC00563
0.05,20,mixture_bimodal_far,SC00564
0.1,20,mixture_bimodal_far,SC00565
0.15,20,mixture_bimodal_far,SC00566
0.2,20,mixture_bimodal_far,SC00567
0.3,20,mixture_bimodal_far,SC00568
0,30,mixture_bimodal_far,SC00569
0.01,30,mixture_bimodal_far,SC00570
0.02,30,mixture_bimodal_far,SC00571
0.05,30,mixture_bimodal_far,SC00572
0.1,30,mixture_bimodal_far,SC00573
0.15,30,mixture_bimodal_far,SC00574
0.2,30,mixture_bimodal_far,SC00575
0.3,30,mixture_bimodal_far,SC00576
